review_id,lodging_id,guest_id,date,review,rating,overall_sentiment,room_sentiment,guest_service_sentiment,cleaning_sentiment,breakfast_sentiment,sentiment_score,clean_review
43,811,42,2020-10-19,Decent location good prices and diamonds casino in the same place. Good for a weekend getaway,4,1,0,0,0,0,0.7003,decent location good price diamond casino place good weekend getaway
140,811,135,2017-03-16,Nice hotel friendly check in staff. Cocktail servers could have been better. Slow service and not very friendly towards minority groups,4,-1,1,-1,0,0,0.9022,nice hotel friendly check staff cocktail server could well slow service friendly towards minority group
240,811,223,2017-03-16,"The check in was fast and the receptionist give us some information we're to go around Reno for dinner because in the Hotel inside the casino they serve food 24h but around there they allow to smoke so is not the maximum for eat.
For the rest the room was clean big and the bed very comfortable.
I will back for sure",5,1,1,1,1,0,0.9292,check fast receptionist give we information go around reno dinner hotel inside casino serve food 24h around allow smoke maximum eat rest room clean big bed comfortable back sure
246,811,230,2017-03-17,We make many trips to Reno and are4 delighted we found Ramada and plan to make it our regular stop.,5,1,1,1,1,0,0.2732,make many trip reno are4 delight find ramada plan make regular stop
443,811,425,2022-12-21,"Homeless everywhere, did not feel safe. Shower had mold in it! The shampoo and lotion were used, so gross. Room had air conditioning on in winter and was freezing. Pillows were way too soft.",3,-1,-1,0,-1,0,-0.7781,homeless everywhere feel safe shower mold shampoo lotion use gross room air conditioning winter freezing pillow way soft
505,811,486,2021-02-04,Best casino ever!! Lovin life and the crew here! Loose slots!,5,1,0,0,0,0,0.4404,good casino ever lovin life crew loose slot
510,811,490,2020-02-06,"Small casino.played a little.staff friendly. You can see the age of building. Restrooms,  carpet, out dated and worn.",2,-1,-1,1,-1,0,0.25,small casinoplayed littlestaff friendly see age building restroom carpet date worn
921,811,903,2017-03-10,"Nice clean rooms, strange neighborhood. Not too far from downtown attractions.",4,1,1,0,1,0,0.7579,nice clean room strange neighborhood far downtown attraction
996,811,977,2020-07-03,Way to hot to where a mask in could not stay long. Great food Togo.,4,-1,0,0,0,1,-0.5096,way hot mask could stay long great food togo
999,811,979,2018-05-31,clean and largish rooms. good little diner at a good price. loose machines but a lower class clientele by and large in the casino. security is a little permissive to the scrubs and ho's,4,1,1,0,1,0,0.5267,clean largish room good little diner good price loose machine low class clientele large casino security little permissive scrub hos
1003,811,981,2020-02-19,The hotel is fine BUT the Casino is not a place to be around ! It's FILTHY ; Don't go outside at night there! You'll get Robbed REALLY quick !,3,-1,0,0,-1,0,0.1027,hotel fine casino place around filthy do not go outside night you ll get rob really quick
2329,1076,2358,2017-12-03,"Best Ramada hotel I have been to, this hotel has it all for a great price!! For the best experience make sure you choose your room in the new building, not the old one. Great breakfast great amenities and friendly staff!! Highly recommended staying here, forget the fancy expensive resorts when you have this!",5,1,1,1,1,1,0.9806,good ramada hotel hotel great price good experience make sure choose room new building old one great breakfast great amenity friendly staff highly recommend stay forget fancy expensive resort
2645,1076,2699,2018-05-26,"It was very nice atmosphere,receptionist was every nice,the hotel was very clean and tidy everyone was very friendly I would love to visit in the future again",5,1,1,1,1,0,0.933,nice atmospherereceptionist every nicethe hotel clean tidy everyone friendly would love visit future
